POST /whatsapp/send -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.SEND (Module: whatsapp, Controller: WhatsAppController)
GET /whatsapp/summary -> PERMISSIONS.MOBILE_SHOP.WHATSAPP.SEND (Module: whatsapp, Controller: WhatsAppController)
GET /webhook/whatsapp -> UNPROTECTED (Module: none, Controller: WhatsAppWebhookController)
POST /webhook/whatsapp -> UNPROTECTED (Module: none, Controller: WhatsAppWebhookController)
GET /admin/webhooks -> PERMISSIONS.CORE.SYSTEM.VIEW (Module: system, Controller: AdminWebhooksController)
GET /admin/webhooks/:id -> PERMISSIONS.CORE.SYSTEM.VIEW (Module: system, Controller: AdminWebhooksController)
POST /admin/bootstrap -> PUBLIC (Module: system, Controller: AdminController)
POST /admin/inject-sub -> PERMISSIONS.CORE.SYSTEM.MANAGE (Module: system, Controller: AdminController)
GET /admin/plans -> PERMISSIONS.CORE.SYSTEM.VIEW (Module: system, Controller: AdminController)
GET /admin/tenants -> PERMISSIONS.CORE.SYSTEM.VIEW (Module: system, Controller: AdminController)
GET /admin/privacy/deletions -> PERMISSIONS.CORE.SYSTEM.VIEW (Module: system, Controller: AdminController)
POST /admin/privacy/deletions/:id/approve -> PERMISSIONS.CORE.SYSTEM.MANAGE (Module: system, Controller: AdminController)
POST /admin/privacy/deletions/:id/reject -> PERMISSIONS.CORE.SYSTEM.MANAGE (Module: system, Controller: AdminController)
GET /admin/tenants/:tenantId/subscription -> PERMISSIONS.CORE.SYSTEM.VIEW (Module: system, Controller: AdminController)
GET /admin/tenants/:tenantId/usage -> PERMISSIONS.CORE.SYSTEM.VIEW (Module: system, Controller: AdminController)
